date,population shift,confirm_adds,confirm
2022/11/08,0,3,64320
2022/11/09,0,3,64323
2022/11/10,0,2,64325
2022/11/11,0,3,64328
2022/11/12,0,3,64331
2022/11/13,0,5,64336
2022/11/14,0,2,64338
2022/11/15,0,4,64342
2022/11/16,0,8,64350
2022/11/17,0,7,64357
2022/11/18,0,13,64370
2022/11/19,0,9,64379
2022/11/20,0,11,64390
2022/11/21,0,9,64399
2022/11/22,0,20,64419
2022/11/23,0,13,64432
2022/11/24,0,18,64450
